Year,City,Sport,Athlete,Country,Gender,Event,Medal
1994,Lillehammer,Skating,"BRADBURY, Steven",AUS,Men,5000M Relay,Bronze
1994,Lillehammer,Skating,"HANSEN, Kieran",AUS,Men,5000M Relay,Bronze
1994,Lillehammer,Skating,"MURTHA, Andrew",AUS,Men,5000M Relay,Bronze
1994,Lillehammer,Skating,"NIZIELSKI, Richard",AUS,Men,5000M Relay,Bronze
1994,Lillehammer,Luge,"PROCK, Markus",AUT,Men,Singles,Silver
1994,Lillehammer,Luge,"TAGWERKER, Andrea",AUT,Women,Singles,Bronze
1994,Lillehammer,Skating,"HUNYADY, Emese",AUT,Women,1500M,Gold
1994,Lillehammer,Skating,"HUNYADY, Emese",AUT,Women,3000M,Silver
1994,Lillehammer,Skiing,"MAYER, Christian",AUT,Men,Giant Slalom,Bronze
1994,Lillehammer,Skiing,"STANGASSINGER, Thomas",AUT,Men,Slalom,Gold
1994,Lillehammer,Skiing,"EDER, Elfriede",AUT,Women,Slalom,Silver
1994,Lillehammer,Skiing,"GOLDBERGER, Andreas",AUT,Men,K120 Individual (90M),Bronze
1994,Lillehammer,Skiing,"GOLDBERGER, Andreas",AUT,Men,K120 Team (90M),Bronze
1994,Lillehammer,Skiing,"HORNGACHER, Stefan",AUT,Men,K120 Team (90M),Bronze
1994,Lillehammer,Skiing,"KUTTIN, Heinz",AUT,Men,K120 Team (90M),Bronze
1994,Lillehammer,Skiing,"MOSER, Christian",AUT,Men,K120 Team (90M),Bronze
1994,Lillehammer,Biathlon,"PARAMYGINA, Svetlana",BLR,Women,7.5KM,Silver
1994,Lillehammer,Skating,"ZHELEZOVSKY, Igor",BLR,Men,1000M,Silver
1994,Lillehammer,Biathlon,"BEDARD, Myriam",CAN,Women,15KM,Gold
1994,Lillehammer,Biathlon,"BEDARD, Myriam",CAN,Women,7.5KM,Gold
1994,Lillehammer,Ice Hockey,"ASTLEY, Mark",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"AUCOIN, Adrian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HARLOCK, David",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HIRSCH, Corey",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HLUSHKO, Todd",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"JOHNSON, Greg",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"JOSEPH, Fabian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"KARIYA, Paul",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"KONTOS, Chris",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"LEGACE, Manny",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"LOVSIN, Ken",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"MAYER, Derek",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"NEDVED, Peter",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"NORRIS, Dwayne",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"PARKS, Greg",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"ROY, Allain",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"ROY, Jean Yves",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"SAVAGE, Brian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"SCHLEGEL, Bradley",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"SCHREIBER, Wallace",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"THERIEN, Chris",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"WARRINER, Todd",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"WERENKA, Brad",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Skating,"STOJKO, Elvis",CAN,Men,Individual,Silver
1994,Lillehammer,Skating,"BRASSEUR, Isabelle",CAN,Women,Pairs,Bronze
1994,Lillehammer,Skating,"EISLER, Lloyd",CAN,Men,Pairs,Bronze
1994,Lillehammer,Skating,"GAGNON, Marc",CAN,Men,1000M,Bronze
1994,Lillehammer,Skating,"LAMBERT, Nathalie",CAN,Women,1000M,Silver
1994,Lillehammer,Skating,"BOUDRIAS, Christine",CAN,Women,3000M Relay,Silver
1994,Lillehammer,Skating,"CHAREST, Isabelle",CAN,Women,3000M Relay,Silver
1994,Lillehammer,Skating,"CUTRONE, Angela",CAN,Women,3000M Relay,Silver
1994,Lillehammer,Skating,"DAIGLE, Sylvie",CAN,Women,3000M Relay,Silver
1994,Lillehammer,Skating,"LAMBERT, Nathalie",CAN,Women,3000M Relay,Silver
1994,Lillehammer,Skating,"AUCH, Susan",CAN,Women,500M,Silver
1994,Lillehammer,Skiing,"PODIVINSKY, Ed",CAN,Men,Downhill,Bronze
1994,Lillehammer,Skiing,"LANGLOIS, Lloyd",CAN,Men,Aerials,Bronze
1994,Lillehammer,Skiing,"LAROCHE, Philippe",CAN,Men,Aerials,Silver
1994,Lillehammer,Skiing,"BRASSARD, Jean-Luc",CAN,Men,Moguls,Gold
1994,Lillehammer,Skating,"CHEN, Lu",CHN,Women,Individual,Bronze
1994,Lillehammer,Skating,"ZHANG, Yanmei",CHN,Women,500M,Silver
1994,Lillehammer,Skating,"YE, Qiaobo",CHN,Women,1000M,Bronze
1994,Lillehammer,Ice Hockey,"ALATALO, Mika",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"HeMeLeINEN, Vesa Erik",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"HELMINEN, Raimo",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"JUTILA, Timo",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"KAPANEN, Sami",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"KESKINEN, Esa",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"KIPRUSOFF, Marko",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"KOIVU, Saku",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"KUIVALAINEN, Pasi",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"LAUKKANEN, Janne",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"LEHTERAE, Tero",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"LEHTINEN, Jere",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"MeKELe, Mikko",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"MYLLYS, Jarmo",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"NIEMINEN, Mika",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"OJANEN, Janne",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"PALO, Marko",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"PELTONEN, Ville",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"SORMUNEN, Pasi",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"STROEMBERG, Mika",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"TAMMI, Jukka",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"VARIS, Petri",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Ice Hockey,"VIRTA, Hannu",FIN,Men,Ice Hockey,Bronze
1994,Lillehammer,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,30KM,Bronze
1994,Lillehammer,Skiing,"MYLLYLAE, Mika",FIN,Men,30KM Mass Start,Bronze
1994,Lillehammer,Skiing,"ISOMETSA, Jari",FIN,Men,4X10KM Relay,Bronze
1994,Lillehammer,Skiing,"KIRVESNIEMI, Harri",FIN,Men,4X10KM Relay,Bronze
1994,Lillehammer,Skiing,"MYLLYLAE, Mika",FIN,Men,4X10KM Relay,Bronze
1994,Lillehammer,Skiing,"RAESAENEN, Jari",FIN,Men,4X10KM Relay,Bronze
1994,Lillehammer,Skiing,"MYLLYLAE, Mika",FIN,Men,50KM,Silver
1994,Lillehammer,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,5KM,Bronze
1994,Lillehammer,Biathlon,"BRIAND BOUTHIAUX, Anne",FRA,Women,15KM,Silver
1994,Lillehammer,Biathlon,"BAILLY-SALINS, Patrice",FRA,Men,4X7.5KM Relay,Bronze
1994,Lillehammer,Biathlon,"DUSSERRE, Thierry",FRA,Men,4X7.5KM Relay,Bronze
1994,Lillehammer,Biathlon,"FLANDIN, Herve",FRA,Men,4X7.5KM Relay,Bronze
1994,Lillehammer,Biathlon,"LAURENT, Lionel",FRA,Men,4X7.5KM Relay,Bronze
1994,Lillehammer,Biathlon,"BRIAND BOUTHIAUX, Anne",FRA,Women,4X7.5KM Relay,Bronze
1994,Lillehammer,Biathlon,"BURLET, Delphyne",FRA,Women,4X7.5KM Relay,Bronze
1994,Lillehammer,Biathlon,"CLAUDEL, Veronique",FRA,Women,4X7.5KM Relay,Bronze
1994,Lillehammer,Biathlon,"NIOGRET, Corinne",FRA,Women,4X7.5KM Relay,Bronze
1994,Lillehammer,Skating,"CANDELORO, Philippe",FRA,Men,Individual,Bronze
1994,Lillehammer,Skiing,"GROSPIRON, Edgar",FRA,Men,Moguls,Bronze
1994,Lillehammer,Skating,"DEAN, Christopher",GBR,Men,Ice Dancing,Bronze
1994,Lillehammer,Skating,"TORVILL, Jayne",GBR,Women,Ice Dancing,Bronze
1994,Lillehammer,Skating,"GOOCH, Nicky",GBR,Men,500M,Bronze
1994,Lillehammer,Biathlon,"GROSS, Ricco",GER,Men,10KM,Silver
1994,Lillehammer,Biathlon,"DISL, Uschi",GER,Women,15KM,Bronze
1994,Lillehammer,Biathlon,"FISCHER, Sven",GER,Men,20KM,Bronze
1994,Lillehammer,Biathlon,"LUCK, Frank",GER,Men,20KM,Silver
1994,Lillehammer,Biathlon,"FISCHER, Sven",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"GROSS, Ricco",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"KIRCHNER, Mark",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"LUCK, Frank",GER,Men,4X7.5KM Relay,Gold
1994,Lillehammer,Biathlon,"DISL, Uschi",GER,Women,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"GREINER-PETTER-MEMM, Simone",GER,Women,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"HARVEY, Antje",GER,Women,4X7.5KM Relay,Silver
1994,Lillehammer,Biathlon,"SCHAAF, Petra",GER,Women,4X7.5KM Relay,Silver
1994,Lillehammer,Bobsleigh,"EMBACH, Carsten",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"HANNEMANN, Rene",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"HIELSCHER, Ulf",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"HOPPE, Wolfgang",GER,Men,Four-Man,Bronze
1994,Lillehammer,Bobsleigh,"BRANNASCH, Karsten",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"CZUDAJ, Harald",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"HAMPEL, Olaf",GER,Men,Four-Man,Gold
1994,Lillehammer,Bobsleigh,"SZELIG, Alexander",GER,Men,Four-Man,Gold
