Year,City,Sport,Athlete,Country,Gender,Event,Medal
1964,Innsbruck,Bobsleigh,"DURNTHALER, Reinhold",AUT,Men,Four-Man,Silver
1964,Innsbruck,Bobsleigh,"KOXEDER, Adolf",AUT,Men,Four-Man,Silver
1964,Innsbruck,Bobsleigh,"NAIRZ, Josef",AUT,Men,Four-Man,Silver
1964,Innsbruck,Bobsleigh,"THALER, Erwin",AUT,Men,Four-Man,Silver
1964,Innsbruck,Luge,"FEISTMANTL, Josef",AUT,Men,Doubles,Gold
1964,Innsbruck,Luge,"STENGL, Manfred",AUT,Men,Doubles,Gold
1964,Innsbruck,Luge,"SENN, Reinhold",AUT,Men,Doubles,Silver
1964,Innsbruck,Luge,"THALER, Helmut",AUT,Men,Doubles,Silver
1964,Innsbruck,Luge,"THURNER, Helene",AUT,Women,Singles,Bronze
1964,Innsbruck,Skating,"HEITZER, Regine",AUT,Women,Individual,Silver
1964,Innsbruck,Skiing,"ZIMMERMANN, Egon",AUT,Men,Downhill,Gold
1964,Innsbruck,Skiing,"HECHER, Traudl",AUT,Women,Downhill,Bronze
1964,Innsbruck,Skiing,"HAAS, Christl",AUT,Women,Downhill,Gold
1964,Innsbruck,Skiing,"ZIMMERMANN, Edith",AUT,Women,Downhill,Silver
1964,Innsbruck,Skiing,"STIEGLER, Josef",AUT,Men,Giant Slalom,Bronze
1964,Innsbruck,Skiing,"SCHRANZ, Karl",AUT,Men,Giant Slalom,Silver
1964,Innsbruck,Skiing,"STIEGLER, Josef",AUT,Men,Slalom,Gold
1964,Innsbruck,Bobsleigh,"ANAKIN, Douglas",CAN,Men,Four-Man,Gold
1964,Innsbruck,Bobsleigh,"EMERY, John",CAN,Men,Four-Man,Gold
1964,Innsbruck,Bobsleigh,"EMERY, Victor",CAN,Men,Four-Man,Gold
1964,Innsbruck,Bobsleigh,"KIRBY, Peter",CAN,Men,Four-Man,Gold
1964,Innsbruck,Skating,"BURKA, Petra",CAN,Women,Individual,Bronze
1964,Innsbruck,Skating,"REVELL, Guy",CAN,Men,Pairs,Silver
1964,Innsbruck,Skating,"WILKES, Debbi",CAN,Women,Pairs,Silver
1964,Innsbruck,Luge,"PLENK, Hans",EUA,Men,Singles,Bronze
1964,Innsbruck,Luge,"Ke_HLER, Thomas",EUA,Men,Singles,Gold
1964,Innsbruck,Luge,"BONSACK, Klaus",EUA,Men,Singles,Silver
1964,Innsbruck,Luge,"ENDERLEIN, Ortrun",EUA,Women,Singles,Gold
1964,Innsbruck,Luge,"GEISLER, Ilse",EUA,Women,Singles,Silver
1964,Innsbruck,Skating,"SCHNELLDORFER, Manfred",EUA,Men,Individual,Gold
