Year,City,Sport,Athlete,Country,Gender,Event,Medal
1984,Sarajevo,Skiing,"STEINER, Anton",AUT,Men,Downhill,Bronze
1984,Sarajevo,Skating,"ORSER, Brian",CAN,Men,Individual,Silver
1984,Sarajevo,Skating,"BOUCHER, Gaetan",CAN,Men,1000M,Gold
1984,Sarajevo,Skating,"BOUCHER, Gaetan",CAN,Men,1500M,Gold
1984,Sarajevo,Skating,"BOUCHER, Gaetan",CAN,Men,500M,Bronze
1984,Sarajevo,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,10KM,Gold
1984,Sarajevo,Skiing,"KIRVESNIEMI, Harri",FIN,Men,15KM,Bronze
1984,Sarajevo,Skiing,"KARVONEN, Aki",FIN,Men,15KM,Silver
1984,Sarajevo,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,20KM,Gold
1984,Sarajevo,Skiing,"KARVONEN, Aki",FIN,Men,4X10KM Relay,Bronze
1984,Sarajevo,Skiing,"KIRVESNIEMI, Harri",FIN,Men,4X10KM Relay,Bronze
1984,Sarajevo,Skiing,"MIETO, Juha",FIN,Men,4X10KM Relay,Bronze
1984,Sarajevo,Skiing,"RISTANEN, Kari",FIN,Men,4X10KM Relay,Bronze
1984,Sarajevo,Skiing,"HYYTIAINEN, Eija",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skiing,"MeeTTe, Pirkko",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skiing,"MATIKAINEN, Marjo",FIN,Women,4X5KM Relay,Bronze
1984,Sarajevo,Skiing,"KARVONEN, Aki",FIN,Men,50KM,Bronze
1984,Sarajevo,Skiing,"KIRVESNIEMI, Marja-Liisa",FIN,Women,5KM,Gold
1984,Sarajevo,Skiing,"YLIPULLI, Jukka",FIN,Men,Individual,Bronze
1984,Sarajevo,Skiing,"KARJALAINEN, Jouko",FIN,Men,Individual,Silver
1984,Sarajevo,Skiing,"NYKANEN, Matti",FIN,Men,K120 Individual (90M),Gold
1984,Sarajevo,Skiing,"PUIKKONEN, Jari",FIN,Men,K90 Individual (70M),Bronze
1984,Sarajevo,Skiing,"NYKANEN, Matti",FIN,Men,K90 Individual (70M),Silver
1984,Sarajevo,Skiing,"PELEN, Perrine",FRA,Women,Giant Slalom,Bronze
1984,Sarajevo,Skiing,"BOUVET, Didier",FRA,Men,Slalom,Bronze
1984,Sarajevo,Skiing,"PELEN, Perrine",FRA,Women,Slalom,Silver
1984,Sarajevo,Biathlon,"ANGERER, Peter",FRG,Men,10KM,Silver
1984,Sarajevo,Biathlon,"ANGERER, Peter",FRG,Men,20KM,Gold
1984,Sarajevo,Biathlon,"ANGERER, Peter",FRG,Men,4X7.5KM Relay,Bronze
1984,Sarajevo,Biathlon,"FISCHER, Fritz",FRG,Men,4X7.5KM Relay,Bronze
1984,Sarajevo,Biathlon,"PICHLER, Walter",FRG,Men,4X7.5KM Relay,Bronze
1984,Sarajevo,Biathlon,"REITER, Ernst",FRG,Men,4X7.5KM Relay,Bronze
1984,Sarajevo,Luge,"STANGASSINGER, Hans",FRG,Men,Doubles,Gold
1984,Sarajevo,Luge,"WEMBACHER, Franz",FRG,Men,Doubles,Gold
