Year,City,Sport,Athlete,Country,Gender,Event,Medal
1976,Innsbruck,Luge,"SCHACHNER, Franz",AUT,Men,Doubles,Bronze
1976,Innsbruck,Luge,"SCHMID, Rudolf",AUT,Men,Doubles,Bronze
1976,Innsbruck,Skiing,"KLAMMER, Franz",AUT,Men,Downhill,Gold
1976,Innsbruck,Skiing,"TOTSCHNIGG, Brigitte",AUT,Women,Downhill,Silver
1976,Innsbruck,Skiing,"SCHNABL, Karl",AUT,Men,K120 Individual (90M),Gold
1976,Innsbruck,Skiing,"INNAUER, Anton",AUT,Men,K120 Individual (90M),Silver
1976,Innsbruck,Skiing,"SCHNABL, Karl",AUT,Men,K90 Individual (70M),Bronze
1976,Innsbruck,Skating,"CRANSTON, Toller",CAN,Men,Individual,Bronze
1976,Innsbruck,Skating,"PRIESTNER, Cathy",CAN,Women,500M,Silver
1976,Innsbruck,Skiing,"KREINER, Kathy",CAN,Women,Giant Slalom,Gold
1976,Innsbruck,Biathlon,"IKOLA, Heikki",FIN,Men,20KM,Silver
1976,Innsbruck,Biathlon,"FLe_JT, Henrik",FIN,Men,4X7.5KM Relay,Silver
1976,Innsbruck,Biathlon,"IKOLA, Heikki",FIN,Men,4X7.5KM Relay,Silver
1976,Innsbruck,Biathlon,"SAIRA, Esko",FIN,Men,4X7.5KM Relay,Silver
1976,Innsbruck,Biathlon,"SUUTARINEN, Juhani",FIN,Men,4X7.5KM Relay,Silver
1976,Innsbruck,Skiing,"TAKALO, Helena",FIN,Women,10KM,Silver
1976,Innsbruck,Skiing,"KOIVISTO, Arto",FIN,Men,15KM,Bronze
1976,Innsbruck,Skiing,"KOIVISTO, Arto",FIN,Men,4X10KM Relay,Gold
1976,Innsbruck,Skiing,"MIETO, Juha",FIN,Men,4X10KM Relay,Gold
1976,Innsbruck,Skiing,"PITKeNEN, Matti",FIN,Men,4X10KM Relay,Gold
1976,Innsbruck,Skiing,"TEURAJeRVI, Pertti",FIN,Men,4X10KM Relay,Gold
1976,Innsbruck,Skiing,"KAJOSMAA, Marjatta",FIN,Women,4X5KM Relay,Silver
1976,Innsbruck,Skiing,"RIIHIVUORI, Hilkka",FIN,Women,4X5KM Relay,Silver
1976,Innsbruck,Skiing,"SUIKHONEN, Liisa",FIN,Women,4X5KM Relay,Silver
1976,Innsbruck,Skiing,"TAKALO, Helena",FIN,Women,4X5KM Relay,Silver
1976,Innsbruck,Skiing,"TAKALO, Helena",FIN,Women,5KM,Gold
1976,Innsbruck,Skiing,"DEBERNARD, Danieele",FRA,Women,Giant Slalom,Bronze
1976,Innsbruck,Bobsleigh,"BITTNER, Bodo",FRG,Men,Four-Man,Bronze
1976,Innsbruck,Bobsleigh,"SCHUMANN, Manfred",FRG,Men,Four-Man,Bronze
1976,Innsbruck,Bobsleigh,"UTZSCHNEIDER, Peter",FRG,Men,Four-Man,Bronze
1976,Innsbruck,Bobsleigh,"ZIMMERER, Wolfgang",FRG,Men,Four-Man,Bronze
1976,Innsbruck,Bobsleigh,"SCHUMANN, Manfred",FRG,Men,Two-Man,Silver
1976,Innsbruck,Bobsleigh,"ZIMMERER, Wolfgang",FRG,Men,Two-Man,Silver
1976,Innsbruck,Ice Hockey,"AUHUBER, Klaus",FRG,Men,Ice Hockey,Bronze
1976,Innsbruck,Ice Hockey,"BERNDANER, Ignaz",FRG,Men,Ice Hockey,Bronze
1976,Innsbruck,Ice Hockey,"BOOS, Wolfgang",FRG,Men,Ice Hockey,Bronze
1976,Innsbruck,Ice Hockey,"FUNK, Lorenz",FRG,Men,Ice Hockey,Bronze
1976,Innsbruck,Ice Hockey,"HINTERSTOCKER, Martin",FRG,Men,Ice Hockey,Bronze
