Year,City,Sport,Athlete,Country,Gender,Event,Medal
2006,Turin,Skiing,"CAMPLIN, Alisa",AUS,Women,Aerials,Bronze
2006,Turin,Skiing,"BEGG-SMITH, Dale",AUS,Men,Moguls,Gold
2006,Turin,Luge,"LINGER, Andreas",AUT,Men,Doubles,Gold
2006,Turin,Luge,"LINGER, Wolfgang",AUT,Men,Doubles,Gold
2006,Turin,Skiing,"SCHOENFELDER, Rainer",AUT,Men,Alpine Combined,Bronze
2006,Turin,Skiing,"SCHILD, Marlies",AUT,Women,Alpine Combined,Silver
2006,Turin,Skiing,"WALCHHOFER, Michael",AUT,Men,Downhill,Silver
2006,Turin,Skiing,"DORFMEISTER, Michaela",AUT,Women,Downhill,Gold
2006,Turin,Skiing,"MAIER, Hermann",AUT,Men,Giant Slalom,Bronze
2006,Turin,Skiing,"RAICH, Benjamin",AUT,Men,Giant Slalom,Gold
2006,Turin,Skiing,"SCHOENFELDER, Rainer",AUT,Men,Slalom,Bronze
2006,Turin,Skiing,"RAICH, Benjamin",AUT,Men,Slalom,Gold
2006,Turin,Skiing,"HERBST, Reinfried",AUT,Men,Slalom,Silver
2006,Turin,Skiing,"SCHILD, Marlies",AUT,Women,Slalom,Bronze
2006,Turin,Skiing,"HOSP, Nicole",AUT,Women,Slalom,Silver
2006,Turin,Skiing,"MAIER, Hermann",AUT,Men,Super-G,Silver
2006,Turin,Skiing,"MEISSNITZER, Alexandra",AUT,Women,Super-G,Bronze
2006,Turin,Skiing,"DORFMEISTER, Michaela",AUT,Women,Super-G,Gold
2006,Turin,Skiing,"BOTWINOV, Mikhail",AUT,Men,50KM,Bronze
2006,Turin,Skiing,"GOTTWALD, Felix",AUT,Men,Individual,Silver
2006,Turin,Skiing,"GOTTWALD, Felix",AUT,Men,Individual Sprint,Gold
2006,Turin,Skiing,"BIELER, Christoph",AUT,Men,Team,Gold
2006,Turin,Skiing,"GOTTWALD, Felix",AUT,Men,Team,Gold
2006,Turin,Skiing,"GRUBER, Michael",AUT,Men,Team,Gold
2006,Turin,Skiing,"STECHER, Mario",AUT,Men,Team,Gold
2006,Turin,Skiing,"MORGENSTERN, Thomas",AUT,Men,K120 Individual (90M),Gold
2006,Turin,Skiing,"KOFLER, Andreas",AUT,Men,K120 Individual (90M),Silver
2006,Turin,Skiing,"KOCH, Martin",AUT,Men,K120 Team (90M),Gold
2006,Turin,Skiing,"KOFLER, Andreas",AUT,Men,K120 Team (90M),Gold
2006,Turin,Skiing,"MORGENSTERN, Thomas",AUT,Men,K120 Team (90M),Gold
2006,Turin,Skiing,"WIDHOELZL, Andreas",AUT,Men,K120 Team (90M),Gold
2006,Turin,Skiing,"GRABNER, Siegfried",AUT,Men,Giant Parallel Slalom,Bronze
2006,Turin,Skiing,"DASHINSKI, Dmitri",BLR,Men,Aerials,Silver
2006,Turin,Skating,"RADANOVA, Evgenia",BUL,Women,500M,Silver
2006,Turin,Bobsleigh,"BROWN, Lascelles",CAN,Men,Two-Man,Silver
2006,Turin,Bobsleigh,"LUEDERS, Pierre",CAN,Men,Two-Man,Silver
2006,Turin,Bobsleigh,"GIBSON, Duff",CAN,Men,Individual,Gold
2006,Turin,Bobsleigh,"PAIN, Jeff",CAN,Men,Individual,Silver
2006,Turin,Bobsleigh,"HOLLINGSWORTH-RICHARDS, Mellisa",CAN,Women,Individual,Bronze
2006,Turin,Curling,"ADAM, Mike",CAN,Men,Curling,Gold
2006,Turin,Curling,"GUSHUE, Brad",CAN,Men,Curling,Gold
2006,Turin,Curling,"HOWARD, Russ",CAN,Men,Curling,Gold
2006,Turin,Curling,"KORAB, Jamie",CAN,Men,Curling,Gold
2006,Turin,Curling,"NICHOLS, Mark",CAN,Men,Curling,Gold
2006,Turin,Curling,"BAKKER, Glenys",CAN,Women,Curling,Bronze
2006,Turin,Curling,"JENKINS, Sandra",CAN,Women,Curling,Bronze
2006,Turin,Curling,"KESHEN, Christine",CAN,Women,Curling,Bronze
2006,Turin,Curling,"KLEIBRINK, Shannon",CAN,Women,Curling,Bronze
2006,Turin,Curling,"NIXON, Amy",CAN,Women,Curling,Bronze
2006,Turin,Ice Hockey,"AGOSTA, Meghan",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"APPS, Gillian",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"BOTTERILL, Jennifer",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"CAMPBELL, Cassie",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"FERRARI, Gillian",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"GOYETTE, Danielle",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"HEFFORD, Jayna",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"KELLAR, Becky",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"KINGSBURY, Gina",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"LABONTE, Charline",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"MACLEOD, Carla",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"OUELLETTE, Caroline",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"PIPER, Cherie",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"POUNDER, Cheryl",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"SOSTORICS, Colleen",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"SUNOHARA, Vicky",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"VAILLANCOURT, Sarah",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"WEATHERSTON, Katie",CAN,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,"WICKENHEISER, Hayley",CAN,Women,Ice Hockey,Gold
2006,Turin,Skating,"BUTTLE, Jeffrey",CAN,Men,Individual,Bronze
2006,Turin,Skating,"KRAUS, Alanna",CAN,Women,3000M Relay,Silver
2006,Turin,Skating,"LEBLANC-BOUCHER, Anouk",CAN,Women,3000M Relay,Silver
2006,Turin,Skating,"OVERLAND, Amanda",CAN,Women,3000M Relay,Silver
2006,Turin,Skating,"ROBERGE, Kalyna",CAN,Women,3000M Relay,Silver
2006,Turin,Skating,"VICENT, Tania",CAN,Women,3000M Relay,Silver
2006,Turin,Skating,"BEDARD, Eric",CAN,Men,5000M Relay,Silver
2006,Turin,Skating,"GUILMETTE, Jonathan",CAN,Men,5000M Relay,Silver
2006,Turin,Skating,"HAMELIN, Charles",CAN,Men,5000M Relay,Silver
2006,Turin,Skating,"TREMBLAY, Francois-Louis",CAN,Men,5000M Relay,Silver
2006,Turin,Skating,"TURCOTTE, Mathieu",CAN,Men,5000M Relay,Silver
2006,Turin,Skating,"TREMBLAY, Francois-Louis",CAN,Men,500M,Silver
2006,Turin,Skating,"LEBLANC-BOUCHER, Anouk",CAN,Women,500M,Bronze
2006,Turin,Skating,"KLASSEN, Cindy",CAN,Women,1000M,Silver
2006,Turin,Skating,"KLASSEN, Cindy",CAN,Women,1500M,Gold
2006,Turin,Skating,"GROVES, Kristina",CAN,Women,1500M,Silver
2006,Turin,Skating,"KLASSEN, Cindy",CAN,Women,3000M,Bronze
2006,Turin,Skating,"KLASSEN, Cindy",CAN,Women,5000M,Bronze
2006,Turin,Skating,"HUGHES, Clara",CAN,Women,5000M,Gold
2006,Turin,Skating,"DANKERS, Arne",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,"ELM, Steven",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,"MORRISON, Denny",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,"PARKER, Jason",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,"WARSYLEWICZ, Justin",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,"GROVES, Kristina",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,"HUGHES, Clara",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,"KLASSEN, Cindy",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,"NESBITT, Christine",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,"REMPEL, Shannon",CAN,Women,Team Pursuit,Silver
2006,Turin,Skiing,"CRAWFORD, Chandra",CAN,Women,Sprint 1.5KM,Gold
2006,Turin,Skiing,"RENNER, Sara",CAN,Women,Team Sprint,Silver
2006,Turin,Skiing,"SCOTT, Beckie",CAN,Women,Team Sprint,Silver
2006,Turin,Skiing,"HEIL, Jennifer",CAN,Women,Moguls,Gold
2006,Turin,Skiing,"MALTAIS, Dominique",CAN,Women,Snowboard Cross,Bronze
2006,Turin,Skating,"SHEN, Xue",CHN,Women,Pairs,Bronze
2006,Turin,Skating,"ZHAO, Hongbo",CHN,Men,Pairs,Bronze
2006,Turin,Skating,"ZHANG, Dan",CHN,Women,Pairs,Silver
2006,Turin,Skating,"ZHANG, Hao",CHN,Men,Pairs,Silver
2006,Turin,Skating,"YANG (A), Yang",CHN,Women,1000M,Bronze
2006,Turin,Skating,"WANG, Meng",CHN,Women,1000M,Silver
2006,Turin,Skating,"LI, JiaJun",CHN,Men,1500M,Bronze
2006,Turin,Skating,"WANG, Meng",CHN,Women,1500M,Bronze
2006,Turin,Skating,"WANG, Meng",CHN,Women,500M,Gold
2006,Turin,Skating,"REN, Hui",CHN,Women,500M,Bronze
2006,Turin,Skating,"WANG, Manli",CHN,Women,500M,Silver
2006,Turin,Skiing,"HAN, Xiaopeng",CHN,Men,Aerials,Gold
2006,Turin,Skiing,"LI, Nina",CHN,Women,Aerials,Silver
2006,Turin,Skiing,"KOSTELIC, Ivica",CRO,Men,Alpine Combined,Silver
2006,Turin,Skiing,"KOSTELIC, Janica",CRO,Women,Alpine Combined,Gold
2006,Turin,Skiing,"KOSTELIC, Janica",CRO,Women,Super-G,Silver
2006,Turin,Ice Hockey,"BULIS, Jan",CZE,Men,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"CAJANEK, Petr",CZE,Men,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"ELIAS, Patrik",CZE,Men,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"ERAT, Martin",CZE,Men,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"HASEK, Dominik",CZE,Men,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"HEJDUK, Milan",CZE,Men,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"HEMSKY, Ales",CZE,Men,Ice Hockey,Bronze
2006,Turin,Ice Hockey,"HNILICKA, Milan",CZE,Men,Ice Hockey,Bronze
